timestamp,payload
2026-06-30T17:21:08.092314,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:09.090389,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:10.077324,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:11.089448,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:12.142891,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:13.151208,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:14.090561,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:15.093667,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:16.090122,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:17.089736,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:18.090351,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:19.090554,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:20.090735,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:21.101408,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:22.093371,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:23.100377,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:24.108813,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:25.178871,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:26.118471,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:27.113424,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:28.112618,"{""temp"":27.2,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:29.109679,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:30.110616,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:31.119355,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:32.111287,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:33.121128,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:34.123666,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:35.120499,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:36.120469,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:37.123713,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:38.119282,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:39.120964,"{""temp"":27.3,""humidity"":50.6,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:40.133213,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:41.129057,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:42.131736,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:43.129436,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:44.119013,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:45.131976,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:46.129286,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:47.129383,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:48.129995,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:49.129339,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:50.134309,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:51.139926,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:52.140431,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:53.140367,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:54.140069,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:55.152722,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:56.154893,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:57.160569,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:58.162660,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:21:59.160143,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:00.161348,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:01.161891,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:02.160323,"{""temp"":27.3,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:03.170568,"{""temp"":27.4,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:04.170222,"{""temp"":27.4,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:05.171072,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:06.198646,"{""temp"":27.4,""humidity"":50.5,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:07.178693,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:08.178768,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:09.178812,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:10.180474,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:11.180059,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:12.180527,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:13.219471,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:14.179197,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:15.179179,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:16.184554,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:17.188452,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:18.181018,"{""temp"":27.4,""humidity"":50.4,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:19.180411,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:20.182087,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:21.179516,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:22.200198,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:22:23.221590,"{""temp"":27.4,""humidity"":50.3,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
